16.4132,27.2789,60.9264,36.6584
16.6516,19.0691,60.0542,52.4409
16.6685,19.1624,59.9935,52.1855
16.6732,17.4326,59.9763,57.3638
16.6489,17.5581,60.0639,56.9538
16.6391,17.2886,60.0996,57.8416
16.6679,17.3425,59.9955,57.6618
16.6866,17.6499,59.9282,56.6575
16.638,18.8508,60.1034,53.0481
16.6879,17.6758,59.9237,56.5745
16.6486,17.4145,60.0651,57.4234
16.6605,17.6792,60.0223,56.5636
16.6642,17.3876,60.0088,57.5123
16.6928,17.5096,59.9059,57.1115
16.6468,17.5959,60.0716,56.8314
16.6854,20.5784,59.9326,48.5946
16.6814,20.6723,59.9469,48.3739
16.6733,19.9251,59.9762,50.188
16.7473,20.034,59.7112,49.9151
17.0865,28.774,58.5258,34.7536
16.7076,21.2663,59.8529,47.0228
16.6823,18.2678,59.9437,54.7411
16.5894,20.1762,60.2793,49.5633
16.6803,19.0114,59.951,52.6
16.7354,19.3873,59.7537,51.5802
16.6072,17.8881,60.2149,55.9031
16.6804,20.8537,59.9506,47.9531
16.6416,17.9443,60.0905,55.728
16.6515,17.5106,60.0547,57.1083
16.6892,17.8674,59.9191,55.9679
16.6325,19.2819,60.1232,51.8621
16.6667,17.8693,59.9998,55.9619
16.6858,18.1173,59.9314,55.1959
16.6731,17.5693,59.9768,56.9175
16.6445,17.5912,60.0797,56.8466
16.6552,17.4835,60.0411,57.1968
16.7183,21.082,59.8146,47.4338
16.6879,21.1681,59.9237,47.2409
16.6635,18.3198,60.0116,54.5857
16.5919,18.1376,60.2703,55.1341
16.6856,18.2568,59.9318,54.7741
16.7232,20.0312,59.7971,49.9221
16.5986,17.5695,60.2461,56.9168
16.6744,20.7318,59.9721,48.2351
16.6696,17.6336,59.9896,56.7099
16.6389,17.4172,60.1002,57.4145
16.6846,17.7068,59.9356,56.4755
16.6676,19.4633,59.9967,51.3787
16.668,17.9122,59.9952,55.8279
16.6746,17.5418,59.9713,57.0067
16.6534,17.5968,60.0479,56.8285
16.6624,19.4474,60.0153,51.4208
16.651,17.9329,60.0566,55.7634
16.6839,17.794,59.938,56.1987
16.8072,21.5648,59.4982,46.3719
16.526,20.7456,60.5108,48.203
16.646,17.7698,60.0746,56.2753
16.695,18.2839,59.8983,54.6929
16.6342,17.3124,60.1171,57.7621
16.6749,17.6178,59.9704,56.7608
16.6448,17.9467,60.0786,55.7206
16.6894,18.2344,59.9184,54.8414
16.6442,19.034,60.0809,52.5376
16.6827,20.9109,59.9423,47.8219
16.6515,17.4965,60.0547,57.1543
16.6674,17.5607,59.9975,56.9453
16.7612,18.4476,59.6617,54.2076
17.2563,31.1888,57.9498,32.0628
16.6759,25.8958,59.9669,38.6163
17.8245,30.7621,56.1027,32.5075
17.1269,34.5841,58.3878,28.915
17.1904,33.4333,58.1721,29.9103
